packet_count,byte_count,duration_sec,byte_rate,label
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,20,11.9,0
2,140,20,7.0,0
138,14392,22,654.1818181818181,0
25,1500,22,68.18181818181819,0
185623,12251218,21,583391.3333333334,0
289402,12736622800,21,606505847.6190476,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
131,13878,22,630.8181818181819,0
24,1440,22,65.45454545454545,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,20,7.0,0
3,238,20,11.9,0
2,140,20,7.0,0
133,14032,22,637.8181818181819,0
50,3000,22,136.36363636363637,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
140,14532,22,660.5454545454545,0
48,2880,22,130.9090909090909,0
185624,12251284,21,583394.4761904762,0
289401,12736557574,21,606502741.6190476,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
3,238,21,11.333333333333334,0
2,140,21,6.666666666666667,0
139,14448,22,656.7272727272727,0
54,3240,24,135.0,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,22,10.818181818181818,0
2,140,22,6.363636363636363,0
138,14392,24,599.6666666666666,0
54,3240,24,135.0,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
140,14532,24,605.5,0
27,1620,24,67.5,0
299047,19737202,23,858139.2173913043,0
467198,20562083544,23,894003632.3478261,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
131,13878,24,578.25,0
26,1560,24,65.0,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,22,6.363636363636363,0
3,238,22,10.818181818181818,0
2,140,22,6.363636363636363,0
133,14032,24,584.6666666666666,0
53,3180,24,132.5,0
299047,19737202,23,858139.2173913043,0
467198,20562083544,23,894003632.3478261,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
3,238,23,10.347826086956522,0
2,140,23,6.086956521739131,0
139,14448,24,602.0,0
30,1800,26,69.23076923076923,0
416880,27514180,25,1100567.2,0
650196,28600617476,25,1144024699.04,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
131,13878,26,533.7692307692307,0
57,3420,26,131.53846153846155,0
416880,27514180,25,1100567.2,0
650196,28600617476,25,1144024699.04,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
139,14448,26,555.6923076923077,0
28,1680,26,64.61538461538461,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,24,5.833333333333333,0
3,238,24,9.916666666666666,0
2,140,24,5.833333333333333,0
133,14032,26,539.6923076923077,0
60,3600,26,138.46153846153845,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,25,9.52,0
2,140,25,5.6,0
3,238,24,9.916666666666666,0
2,140,24,5.833333333333333,0
